ZIP Code Standard,Zip Codes Clean,City ,State,County,Crime Rate ,Urban or Rural,Population (2010 US Census),Low Access Tract 1and10,Vehicle Access,Low Income Tracts,Poverty Rate,Poverty Tract (At or > 20%),Median Family Income,"Family Income Tract (At or < $59,039)",Low Access to Supermarket,Risk of Of Being Distant from SM,Access to Exercise (%),Lack of Exercise Access,High School Graduation Rate,Below National Average (84.6%),Percentage Unemployed,Unemployed Tract (National Average = 3.7%,Percentage Uninsured,Uninsured Tract (National Average = 8.8%
82838,82838,PARKMAN,Wyoming,Sheridan,0,1,3586,0,0,0,9.4,0,73214,0,1945.509502,1,0.87,0,0.86,0,0.04,1,0.12,1
82839,82839,RANCHESTER,Wyoming,Sheridan,0,1,5675,0,1,0,15.2,0,66333,0,5508.667881,1,0.87,0,0.86,0,0.04,1,0.12,1
82945,82945,Superior,Wyoming,Sweetwater,0,1,3471,0,0,0,8.7,0,95532,0,0.455239803,0,0.9,0,0.8,1,0.046,1,0.13,1
82401,82401,WORLAND,Wyoming,Washakie,0,1,2665,0,0,1,14.5,0,52474,1,0,0,0.82,0,0.86,0,0.041,1,0.17,1
36532,36532,Fairhope,Alabama,Baldwin,0,0,3804,0,0,0,15.6,0,1578.129456,1,55966,1,0.72,0,0.86,0,0.04,1,0.11,1
36542,36542,Gulf Shores,Alabama,Baldwin,0,0,2902,0,0,1,28.1,1,31.36283808,1,41397,1,0.72,0,0.86,0,0.04,1,0.11,1
99755,99755,Denali,Alaska,Denali Borough,0,0,1826,0,0,0,12.8,0,102552,0,1826.000014,1,0.68,1,0.45,1,0.094,1,0.15,1
85335,85335,El Mirage,Arizona,Maricopa,1,0,5073,0,0,4.5,116833,1,192.0783634,1,0,0,0.86,0,0.78,1,0.045,1,0.11,1
85396,85396,Buckeye,Arizona,Maricopa,0,0,4283,0,0,6.2,107693,1,1895.431083,1,0,0,0.86,0,0.78,1,0.045,1,0.11,1
86436,86436,Topock,Arizona,Mohave,1,0,1288,0,0,1,32.1,1,42188,1,1.999999902,0,0.66,1,0.83,1,0.059,1,0.12,1
85132,85132,Florence,Arizona,Pinal,0,0,5469,0,0,0,5.5,0,63196,0,942.4355666,0,0.74,0,0.72,1,0.05,1,0.11,1
71913,71913,Hot Springs,Arkansas,Garland,0,0,5727,0,0,1,26.1,1,47027,1,153.0154347,0,0.81,0,0.85,0,0.04,1,0.1,1
93515,93515,BISHOP,California,Inyo,0,0,2757,0,0,0,9,0,71801,0,4.477792165,0,0.85,0,0.8,1,0.061,1,0.07,0
96025,96025,Dunsmuir,California,Siskiyou,0,0,1458,0,0,1,21.9,1,44167,1,51.27952599,0,0.76,0,0.8,1,0.072,1,0.08,0
93286,93286,Woodlake,California,Tulare,0,0,5142,0,0,0,9.3,0,70781,0,2558.668779,1,0.61,1,0.86,0,0.104,1,0.1,1
80137,80137,Watkins,Colorado,Arapahoe,1,0,3245,0,0,0,6.4,0,98000,0,0,0,0.93,0,0.9,0,0.024,0,0.04,0
81147,81147,PAGOSA SPRINGS,Colorado,Archuleta,0,0,3487,0,0,0,14.4,0,65852,0,230.8355436,0,0.97,0,0.81,1,0.023,0,0.09,1
81211,81211,BUENA VISTA,Colorado,Chaffee,0,0,4531,0,0,1,9.8,0,57500,1,287.5543407,0,0.67,1,0.79,1,0.043,1,0.09,1
80802,80802,Arapahoe,Colorado,Cheyenne,0,0,1836,0,0,0,8.7,0,65792,0,621.6522557,0,0.55,1,0.89,0,0.023,0,0.13,1
80810,80810,Cheyenne Wells,Colorado,Cheyenne,0,0,1836,0,0,0,8.7,0,65792,0,621.6522557,0,0.55,1,0.89,0,0.023,0,0.13,1
80427,80427,CENTRAL CITY,Colorado,Clear Creek,0,0,4959,0,0,0,8.9,0,105028,0,8.963233354,0,0.99,0,0.83,1,0.026,0,0.07,0
80436,80436,DUMONT,Colorado,Clear Creek,0,0,1610,0,0,0,12,0,65560,0,0,0,0.82,0,0.81,1,0.026,0,0.06,0
